verTag,model,reason-filter,reason-version,splits,epochs,learning-rate,warmup-steps,batch-size,nTrain,nValidate,nTest,accTest,MCC,nMCC,RocAuc,f1-0,f1-1,num-0,num-1,F1,precision,recall,tp-rate,fp-rate,specificity,decile1-n,d1-pmin,d1-pmax,lift1,ks-stat,ks-decile,TP,TN,FP,FN,timestamp
baseBERT-randomsplits-ep3bSz32nTok64wup0lr4e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,3,4.00E-05,0,32,177959,22245,22245,0.732434255,0.386298953,0.693,0.688072289,0.581081081,0.803447593,7460,14785,0.803447593,0.784990643,0.822793372,0.822793372,0.446648794,0.553351206,2130,0.968,0.986,1.44,37.856,4,12165,4128,3332,2620,3/18/24 20:32
baseBERT-randomsplits-ep3bSz32nTok64wup0lr5e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,3,5.00E-05,0,32,177959,22245,22245,0.734187458,0.389682339,0.695,0.689424399,0.582739397,0.804973779,7460,14785,0.804973779,0.785567143,0.825363544,0.825363544,0.446514745,0.553485255,2131,0.963,0.98,1.441,37.674,4,12203,4129,3331,2582,3/18/24 20:32
baseBERT-randomsplits-ep3bSz32nTok64wup0lr7e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,3,7.00E-05,0,32,177959,22245,22245,0.695886716,0.233257941,0.617,0.583141652,0.346818577,0.801804705,7460,14785,0.801804705,0.707256564,0.925532634,0.925532634,0.75924933,0.24075067,1545,0.678,0.678,1.045,14.803,8,13684,1796,5664,1101,3/18/24 21:15
baseBERT-randomsplits-ep3bSz32nTok64wup0lr6e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,3,6.00E-05,0,32,177959,22245,22245,0.730186559,0.368279103,0.684,0.673065752,0.553953627,0.806599214,7460,14785,0.806599214,0.770262785,0.846533649,0.846533649,0.500402145,0.499597855,2066,0.923,0.925,1.397,42.074,5,12516,3727,3733,2269,3/18/24 21:15
radBERT-randomsplits-ep3bSz32nTok64wup0lr1e04dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,0.0001,0,32,177959,22245,22245,0.66464374,0,0.500,0.5,0,0.798541723,7460,14785,0.798541723,0.66464374,1,1,1,0,1469,0.56,0.56,0.993,1.032,7,14785,0,7460,0,3/18/24 21:57
radBERT-randomsplits-ep3bSz32nTok64wup0lr1e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,1.00E-05,0,32,177959,22245,22245,0.738278265,0.399797106,0.700,0.694660237,0.590288529,0.807727873,7460,14785,0.807727873,0.78922233,0.827122083,0.827122083,0.437801609,0.562198391,2131,0.966,0.991,1.441,37.352,4,12229,4194,3266,2556,3/18/24 21:57
radBERT-randomsplits-ep3bSz32nTok64wup0lr2e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,2.00E-05,0,32,177959,22245,22245,0.734412227,0.395126459,0.698,0.694209133,0.59097203,0.803368169,7460,14785,0.803368169,0.790839395,0.816300304,0.816300304,0.427882038,0.572117962,2139,0.97,0.99,1.446,38.279,4,12069,4268,3192,2716,3/18/24 22:39
radBERT-randomsplits-ep3bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,3.00E-05,0,32,177959,22245,22245,0.737064509,0.398251402,0.699,0.694477683,0.590434843,0.806382204,7460,14785,0.806382204,0.789678423,0.823807913,0.823807913,0.434852547,0.565147453,2138,0.969,0.988,1.446,39.207,4,12180,4216,3244,2605,3/18/24 22:40
radBERT-randomsplits-ep3bSz32nTok64wup0lr4e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,4.00E-05,0,32,177959,22245,22245,0.735176444,0.394129745,0.697,0.692559234,0.587840201,0.804914395,7460,14785,0.804914395,0.788541396,0.821981738,0.821981738,0.436863271,0.563136729,2132,0.97,0.979,1.442,39.873,4,12153,4201,3259,2632,3/18/24 23:22
radBERT-randomsplits-ep3bSz32nTok64wup0lr5e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,3,5.00E-05,0,32,177959,22245,22245,0.737828726,0.399777562,0.700,0.695119002,0.591253154,0.807027993,7460,14785,0.807027993,0.789985101,0.824822455,0.824822455,0.43458445,0.56541555,2122,0.962,0.98,1.435,38.562,4,12195,4218,3242,2590,3/18/24 23:22
