verTag,model,reason-filter,reason-version,splits,epochs,learning-rate,warmup-steps,batch-size,nTrain,nValidate,nTest,accTest,MCC,nMCC,RocAuc,f1-0,f1-1,num-0,num-1,F1,precision,recall,tp-rate,fp-rate,specificity,decile1-n,d1-pmin,d1-pmax,lift1,ks-stat,ks-decile,TP,TN,FP,FN,timestamp
bioClinBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,bioClinBERT,NCNF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.733,0.393,0.697,0.693,0.589919104,0.80247777,7460,14785,0.80247777,0.790447448,0.814879946,0.814879946,0.428150134,0.571849866,2096,0.979,0.994,1.417,33.52,4,12048,4266,3194,2737,3/20/24 0:05
radBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,radBERT,NCNF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.734,0.392,0.696,0.692,0.586921627,0.803753191,7460,14785,0.803753191,0.788306452,0.819817382,0.819817382,0.436327078,0.563672922,2135,0.981,0.991,1.444,36.626,4,12121,4205,3255,2664,3/20/24 0:03
baseBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataNCNF-v3-2xScrptV3-1,baseBERT,NCNF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.731,0.382,0.691,0.686,0.577297755,0.802532647,7460,14785,0.802532647,0.783061973,0.82299628,0.82299628,0.451876676,0.548123324,2105,0.98,0.995,1.423,33.846,5,12168,4089,3371,2617,3/20/24 0:03
bioClinBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,bioClinBERT,CF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.729,0.384,0.692,0.689,0.58406347,0.798999833,7460,14785,0.798999833,0.787836949,0.810483598,0.810483598,0.432573727,0.567426273,2110,0.98,0.994,1.427,32.875,4,11983,4233,3227,2802,3/19/24 23:00
radBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,radBERT,CF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.734,0.391,0.696,0.691,0.585564121,0.804301787,7460,14785,0.804301787,0.787366375,0.821981738,0.821981738,0.439946381,0.560053619,2132,0.98,0.992,1.442,37.231,4,12153,4178,3282,2632,3/19/24 22:58
baseBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataCF-v3-2xScrptV3-1,baseBERT,CF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.731,0.381,0.691,0.685,0.576040782,0.80280577,7460,14785,0.80280577,0.782298954,0.824416638,0.824416638,0.454691689,0.545308311,2123,0.979,0.992,1.436,33.641,4,12189,4068,3392,2596,3/19/24 22:58
bioClinBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,bioClinBERT,CNF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.733,0.393,0.697,0.693,0.589919104,0.80247777,7460,14785,0.80247777,0.790447448,0.814879946,0.814879946,0.428150134,0.571849866,2096,0.979,0.994,1.417,33.52,4,12048,4266,3194,2737,3/19/24 21:56
baseBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,baseBERT,CNF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.731,0.382,0.691,0.686,0.577297755,0.802532647,7460,14785,0.802532647,0.783061973,0.82299628,0.82299628,0.451876676,0.548123324,2105,0.98,0.995,1.423,33.846,5,12168,4089,3371,2617,3/19/24 21:54
radBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataCNF-v3-2xScrptV3-1,radBERT,CNF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.734,0.393,0.697,0.692,0.587923581,0.803967096,7460,14785,0.803967096,0.788843325,0.81968211,0.81968211,0.434852547,0.565147453,2134,0.982,0.99,1.443,36.242,4,12119,4216,3244,2666,3/19/24 21:54
bioClinBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,bioClinBERT,NCF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.728,0.378,0.689,0.684,0.576318743,0.800224912,7460,14785,0.800224912,0.783028028,0.818194116,0.818194116,0.449329759,0.550670241,2098,0.978,0.997,1.419,33.561,4,12097,4108,3352,2688,3/19/24 20:19
radBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,radBERT,NCF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.731,0.381,0.690,0.684,0.574621023,0.803640067,7460,14785,0.803640067,0.781333844,0.827257355,0.827257355,0.458847185,0.541152815,2128,0.978,0.99,1.439,37.412,4,12231,4037,3423,2554,3/19/24 20:16
baseBERT-randomsplits-ep4bSz32nTok64wup0lr3e05dataNCF-v3-2xScrptV3-1,baseBERT,NCF,3-2x,random:80-10-10,4,3.00E-05,0,32,177959,22245,22245,0.728,0.377,0.688,0.684,0.575001756,0.80007932,7460,14785,0.80007932,0.782316443,0.818667568,0.818667568,0.451474531,0.548525469,2126,0.979,0.994,1.438,32.935,4,12104,4092,3368,2681,3/19/24 20:12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
